employee_id,name,age,salary,join_date,department,gender,country,city,weight_kg,is_active,review,price,target
1,Hasan D.,41.0,35149.0,2023-05-30,Sales,Male,United States,Sylhet,118.4,False,Good value for money.,219.18,0
2,Grace P.,41.0,77836.0,2017-02-27,Engineering,Female,United States,Chittagong,71.0,True,Product met all expectations.,329.26,0
3,Eve D.,20.0,35404.0,2022-01-18,HR,Male,Bangladesh,Chittagong,98.7,False,Very satisfied with the quality.,438.6,0
4,Diana E.,47.0,107375.0,2017-04-15,Marketing,Male,United Kingdom,Khulna,86.8,False,Delivery was fast and packaging great.,238.03,0
5,Ira W.,64.0,55962.0,2021-11-02,Sales,Female,United Kingdom,Dhaka,83.5,False,Would buy again without hesitation.,9.4,0
6,Frank Y.,38.0,88527.0,2022-08-16,Marketing,Male,United Kingdom,Sylhet,95.8,False,"Excellent product, highly recommend!",213.25,0
7,John Q.,25.0,109079.0,2020-09-10,HR,Female,United States,Chittagong,125.2,False,Delivery was fast and packaging great.,19.35,0
8,Charlie K.,22.0,75294.0,2010-01-12,Finance,Female,United Kingdom,Rajshahi,87.9,False,Delivery was fast and packaging great.,419.0,0
9,Diana V.,43.0,88859.0,2023-06-09,Marketing,Male,United States,Khulna,73.8,True,good,430.17,0
10,Alice C.,41.0,46627.0,2012-01-12,Sales,Female,United States,Khulna,110.7,False,Very satisfied with the quality.,429.27,0
11,Hasan D.,44.0,70027.0,2020-08-24,Engineering,Female,United Kingdom,Sylhet,115.9,False,Delivery was fast and packaging great.,128.46,0
12,John G.,39.0,89568.0,2011-11-07,Engineering,Female,Bangladesh,Chittagong,112.7,False,Would buy again without hesitation.,448.71,1
13,Grace M.,51.0,80277.0,2011-03-10,Finance,Male,Bangladesh,Dhaka,64.0,False,Good value for money.,285.54,0
14,Hasan L.,50.0,41141.0,2021-11-19,Finance,Female,United Kingdom,Khulna,104.9,False,Very satisfied with the quality.,302.48,0
